registration,make,model
LS21YTR,TOYOTA,YARIS EXCEL HEV CVT
LS23KVW,CUPRA,FORMENTOR VZ1 TSI EVO S-A
LS51AWM,MERCEDES-BENZ,SPRINTER
LS52RNU,VAUXHALL,AGILA
LS53GWA,RENAULT,SCENIC
LS53MYR,FORD,FIESTA
LS53NZZ,CHRYSLER,VOYAGER
LS54VZY,FORD,FIESTA
LS54YGK,BMW,X3
LS57ONM,FORD,FIESTA
LS57VMC,RENAULT,SCENIC
LS57WNX,FORD,FIESTA
LS57WPN,FORD,FIESTA
LS58EAP,CHEVROLET,AVEO
LS59BHL,CHEVROLET,AVEO
LS59ZTX,RENAULT,SCENIC
LS60UJV,FORD,FIESTA
LS61SYF,KIA,RIO
LS62EZZ,FORD,FIESTA
LS62PNL,FORD,FIESTA
LS62ZHD,MERCEDES-BENZ,CLS
LS62ZHN,MERCEDES-BENZ,CLS
LS63HVL,PEUGEOT,BIPPER
LS63HWU,PEUGEOT,BIPPER
LS64DVL,FORD,FIESTA
LS64LRE,TOYOTA,YARIS
LS64UMA,FORD,FIESTA
LS65GFV,RENAULT,SCENIC
LS66OCH,MAZDA,6
LS69MWU,KIA,RIO
LS69PNJ,PEUGEOT,508
LS71OUA,TOYOTA,YARIS CROSS DESIGN HEV AUTO
LS71XHE,RENAULT,ZOE GT LINE RAPID CHARGE EV 50
LS72MKD,NISSAN,JUKE N-CONNECTA DIG-T S-A
LS73EYH,MAZDA,CX-5 HOMURA MHEV
LT03FBG,RENAULT,SCENIC
LT03YUJ,MAZDA,6
LT04KZZ,SUBARU,IMPREZA
LT04YKC,TOYOTA,YARIS
LT05UOG,FORD,FIESTA
KV58HHZ,VAUXHALL,VECTRA
KV58HZC,VAUXHALL,VECTRA
KV58NCN,MERCEDES-BENZ,SPRINTER
KV58NPZ,MERCEDES-BENZ,SPRINTER
KV59VHL,MERCEDES-BENZ,SPRINTER
KV59YYA,TOYOTA,YARIS
KV60EKT,MERCEDES-BENZ,SPRINTER
KV60KKU,MERCEDES-BENZ,CLS
KV60KRO,TOYOTA,YARIS
KV60WRN,MERCEDES-BENZ,SPRINTER
KV61BZU,FORD,FIESTA
KV61JUJ,PEUGEOT,508
KV62CXT,MERCEDES-BENZ,SPRINTER
KV62GXJ,MERCEDES-BENZ,SPRINTER
KV62UGH,TOYOTA,YARIS
KV63GYY,MERCEDES-BENZ,SPRINTER
KV64DAU,MERCEDES-BENZ,SPRINTER
KV64DFE,MERCEDES-BENZ,SPRINTER
KV64LUF,VOLVO,XC70
KV64TFO,MERCEDES-BENZ,SPRINTER
KV64YWM,FORD,FIESTA
KV65XFD,MERCEDES-BENZ,CLS
KV66UKZ,MERCEDES-BENZ,CLS
KV68UZB,MERCEDES-BENZ,SPRINTER
KV68WJD,TOYOTA,YARIS
KV68WLD,KIA,CEED
KV70LUH,AUDI,Q8 S LINE 55 TFSI MHEV QUAT A
KV70OVF,MERCEDES-BENZ,SPRINTER
KV70ZYY,SUZUKI,SWIFT SZ3 DUALJET SHVS
KW04VNB,FORD,FIESTA
KW07YBD,MERCEDES-BENZ,SPRINTER
KW08PYH,MERCEDES-BENZ,SPRINTER
KW10XWT,FORD,FIESTA
KW12NZH,MERCEDES-BENZ,SPRINTER
KW19VXC,MERCEDES-BENZ,SPRINTER
KW19WFL,MERCEDES-BENZ,SPRINTER
KW19XOZ,MERCEDES-BENZ,CLS
KW20WYZ,MERCEDES-BENZ,SPRINTER
KW21UJD,AUDI,Q5 S LINE 40 TDI MHEV QUAT S-A
KW21YXD,PEUGEOT,EXPERT S L1 BLUEHDI
KW55FMU,VAUXHALL,VECTRA
KW55OWH,VAUXHALL,VECTRA
KW55OYD,VAUXHALL,VECTRA
KW55PKC,VAUXHALL,VECTRA
KW55YFC,TOYOTA,YARIS
KW56OEO,FORD,FIESTA
KW56YLB,VAUXHALL,VECTRA
KW59OLN,PEUGEOT,BIPPER
KW59XGN,PEUGEOT,BIPPER
KW59YHL,PEUGEOT,BIPPER
KW63NUP,TOYOTA,YARIS
KW64CHO,BMW,218
KW64HZV,FORD,FIESTA
KW64KWV,MERCEDES-BENZ,SPRINTER
KW64LCV,MERCEDES-BENZ,SPRINTER
KW68UAY,MERCEDES-BENZ,CLS
KW68VUV,MERCEDES-BENZ,SPRINTER
KW70JFA,PEUGEOT,EXPERT S L1 BLUEHDI
KW70VGR,PEUGEOT,208 ALLURE PREMIUM PURETECH SS
KX02DFN,FORD,FIESTA
KX02UOP,MERCEDES-BENZ,SPRINTER
KX02VCJ,MERCEDES-BENZ,SPRINTER
KX03XRS,FORD,FIESTA
KX03XUY,FORD,FIESTA
KX06FGV,TRIUMPH,ROCKET III
KX06RMT,FORD,FIESTA
KX07MPC,MERCEDES-BENZ,SPRINTER
KX07TAE,VOLKSWAGEN,JETTA
KX08YPV,MERCEDES-BENZ,SPRINTER
KX09PGV,FORD,FIESTA
KX10OUS,FORD,FIESTA
KX12ZFF,MERCEDES-BENZ,SPRINTER
KX12ZTL,TOYOTA,YARIS
KX14MTJ,MERCEDES-BENZ,SPRINTER
KX14XFL,FORD,FIESTA
KX14ZVO,VOLVO,XC70
KX15OZC,MERCEDES-BENZ,SPRINTER
KX15YLE,MERCEDES-BENZ,SPRINTER
KX16BVN,MERCEDES-BENZ,SPRINTER
KX17YHN,AUDI,Q3
KX18BLE,AUDI,Q3
KX18NFZ,MERCEDES-BENZ,SPRINTER
KX18VPP,TOYOTA,YARIS
KX19ATS,KIA,RIO
KX19EAH,MERCEDES-BENZ,SPRINTER
KX19MXG,MERCEDES-BENZ,SPRINTER
KX19NLC,MERCEDES-BENZ,SPRINTER
KX19NXF,MERCEDES-BENZ,SPRINTER
KX19RHE,MERCEDES-BENZ,SPRINTER
KX19RSF,MERCEDES-BENZ,SPRINTER
KX19SGK,TOYOTA,YARIS
KX19SKF,MERCEDES-BENZ,SPRINTER
KX19UAZ,MERCEDES-BENZ,SPRINTER
KX51AOL,MERCEDES-BENZ,SPRINTER
KX51TFZ,FORD,FIESTA
KX52WVL,FORD,FIESTA
KX52WYC,FORD,FIESTA
KX57WVL,VAUXHALL,VECTRA
KX57WXE,VAUXHALL,VECTRA
KX58OKT,FORD,FIESTA
KX58PVZ,TOYOTA,YARIS
KX58ZJY,MERCEDES-BENZ,SPRINTER
KX58ZTE,MERCEDES-BENZ,SPRINTER
KX61ZNN,PEUGEOT,508
KX62EAM,SSANGYONG,KORANDO
KX63NZE,MERCEDES-BENZ,SPRINTER
KX65LVC,MERCEDES-BENZ,SPRINTER
KX66NXU,AUDI,Q3
KX66UPZ,MERCEDES-BENZ,SPRINTER
KX66USF,MERCEDES-BENZ,SPRINTER
KX66YMJ,MERCEDES-BENZ,SPRINTER
KX68XOU,MERCEDES-BENZ,SPRINTER
KX68YUB,BMW,X3
KY02NXG,VAUXHALL,VECTRA
KY02YLH,MERCEDES-BENZ,SPRINTER
KY03UUN,JEEP,GRAND CHEROKEE CRD LTD AUTO
KY03XWJ,RENAULT,SCENIC
KY05APK,VAUXHALL,VECTRA
KY05LCV,VAUXHALL,VECTRA
KY06AHO,VAUXHALL,VECTRA
KY06FNW,VAUXHALL,VECTRA
KY06MUP,VAUXHALL,VECTRA
KY06NGX,VAUXHALL,VECTRA
KY06NXM,VAUXHALL,VECTRA
KY06ZKP,VAUXHALL,VECTRA
KY07HLJ,FORD,FIESTA
KY08FNC,MITSUBISHI,COLT
KY08SLZ,VAUXHALL,VECTRA
KY08ULP,VAUXHALL,VECTRA
KY08XOX,FORD,FIESTA
KY09EUC,MERCEDES-BENZ,SPRINTER
KY09HZV,JEEP,PATRIOT LIMITED CRD
KY09YFA,FORD,FIESTA
KY10NBK,MERCEDES-BENZ,SPRINTER
KY12EKE,PEUGEOT,508
KY12EKJ,PEUGEOT,508
KY12LAN,VOLKSWAGEN,TOUAREG V6 BLACK EDITION TSI A
KY12OJE,PEUGEOT,508
KY12VEK,TOYOTA,YARIS
KY12VZO,PEUGEOT,508
KY13VVH,PEUGEOT,508
KY14HXW,VOLVO,XC70
KY17GXR,MERCEDES-BENZ,SPRINTER
KY17HFM,MERCEDES-BENZ,SPRINTER
KY17UYZ,JAGUAR,F-PACE
KY18MTZ,TOYOTA,YARIS
KY19EBZ,JAGUAR,F-PACE
KY19LSZ,AUDI,Q3
KY51PZO,FORD,FIESTA
KY51RBZ,FORD,FIESTA
KY51TCX,MERCEDES-BENZ,SPRINTER
KY52NLO,JEEP,GRAND CHEROKEE CRD LTD AUTO
KY53APF,CHRYSLER,VOYAGER
KY53GLF,VAUXHALL,VECTRA
KY53WWK,VAUXHALL,VECTRA
KY53WXX,VAUXHALL,VECTRA
KY53WZT,VAUXHALL,VECTRA
KY54LKJ,MAZDA,6
KY54XGG,FORD,FIESTA
KY54YVF,VAUXHALL,VECTRA
KY54ZPZ,VAUXHALL,VECTRA
KY55DOJ,KIA,RIO
KY55MYU,VAUXHALL,VECTRA
KY56MUE,SUBARU,IMPREZA
KY56TJV,VAUXHALL,VECTRA
KY57VCL,VAUXHALL,VECTRA
KY57YGA,MERCEDES-BENZ,SPRINTER
KY58JDK,MERCEDES-BENZ,SPRINTER
KY59GBX,FORD,FIESTA
KY59LRE,FORD,FIESTA
KY59XFD,MERCEDES-BENZ,SPRINTER
KY60AKX,MERCEDES-BENZ,SPRINTER
KY60XOF,KIA,CEED
KY61HRO,KIA,RIO
KY62HYZ,MERCEDES-BENZ,CLS
KY62PVZ,PEUGEOT,BIPPER
KY62UVB,CHEVROLET,ORLANDO
KY62WNJ,PEUGEOT,BIPPER
KY62ZVG,PEUGEOT,508
KY63EPO,VOLVO,XC70
KY63HLA,KIA,RIO
KY63URB,MERCEDES-BENZ,SPRINTER
KY64BCX,SSANGYONG,KORANDO
KY64CZA,VAUXHALL,AGILA
KY65OYX,MERCEDES-BENZ,SPRINTER
KY65PFF,MERCEDES-BENZ,SPRINTER
KY66DDV,AUDI,Q3
KY66ODM,AUDI,Q3
KY68DCV,MERCEDES-BENZ,SPRINTER
KY68YCF,MERCEDES-BENZ,SPRINTER
KY70KRO,HYUNDAI,KONA
KY70PYL,VOLKSWAGEN,POLO MATCH EVO
KY71XDT,VOLKSWAGEN,GOLF R-LINE TDI S-A
KY72VOU,KIA,SPORTAGE GT-LN S ISG HEV 4X4 A
L102ROW,FORD,FIESTA
L103UBY,FORD,FIESTA
L117TYJ,FORD,FIESTA
L11HKE,FORD,FIESTA
L11SBY,JAGUAR,XKR
L120RAR,FORD,FIESTA
L120YUS,FORD,FIESTA
L121VHY,FORD,FIESTA
L127BJR,FORD,FIESTA
L128WRH,FORD,FIESTA
L12BRK,FORD,FIESTA
L134NEG,FORD,FIESTA
L135HJM,ROVER,218
L137EPL,FORD,FIESTA
L13MEE,FORD,FIESTA
L154AAD,ROVER,218
L157FCF,FORD,FIESTA
L158PMM,FORD,FIESTA
L15JNC,NISSAN,QASHQAI PREMIERE ED DIG-T MHEV
L165ARW,FORD,FIESTA
L16PBT,MG,HS EXCLUSIVE
L173PYB,FORD,FIESTA
L175JOG,FORD,FIESTA
L175JTH,FORD,FIESTA
L178DRN,FORD,FIESTA
L178JTH,FORD,FIESTA
L17DMT,BMW,218
L17EHG,BMW,218
L17MFR,BMW,X3
L188APG,FORD,FIESTA
L192XFP,FORD,FIESTA
L1LAJ,MERCEDES-BENZ,CLS
L201UKD,FORD,FIESTA
L203RWC,ROVER,414
L208JFC,SUBARU,284 4WD PICK UP
L218HOF,ROVER,218
L219MHH,FORD,FIESTA
L221MYA,FORD,FIESTA
L223XLD,FORD,FIESTA
L229JMJ,FORD,FIESTA
L232TEM,FORD,FIESTA
L241WEY,FORD,FIESTA
L244FOL,FORD,FIESTA
L245BTY,FORD,FIESTA
L248ULA,FORD,FIESTA
L249RFM,FORD,FIESTA
L251JCY,FORD,FIESTA
L252UWP,ROVER,414
L264RTU,FORD,FIESTA
L272DRU,FORD,FIESTA
L272EDC,FORD,FIESTA
L273OAH,FORD,FIESTA
L277ATY,FORD,FIESTA
L27MSL,FORD,FIESTA ST PERFORMANCE ED TURBO
L281SPN,ROVER,218
L282TFL,FORD,FIESTA
L283NJN,FORD,FIESTA
L285XNV,ROVER,218
L293OCH,FORD,FIESTA
L295AUE,FORD,FIESTA
L297MWW,FORD,FIESTA
L297TKA,FORD,FIESTA
L300KJG,LEXUS,RX300
L302WWK,FORD,FIESTA
L303CNB,FORD,FIESTA
L30BEV,AUDI,Q3
L30MCH,MG,MGF
L311LBH,ROVER,414
L311UCM,ROVER,414
L321SKM,KIA,RIO
L339YFF,FORD,FIESTA
L33BKR,KIA,CEED
L33RCH,SUBARU,IMPREZA
L345VVC,FORD,FIESTA
L347BRU,FORD,FIESTA
L351CBO,FORD,FIESTA
L351DAG,MITSUBISHI,COLT
L354OWG,ROVER,414
L355TGT,FORD,FIESTA
L361ECK,FORD,FIESTA
L363EPD,FORD,FIESTA
L363JKS,SUBARU,284 4WD PICK UP
L366FWL,ROVER,414
L369ARU,FORD,SIERRA
L380VTP,FORD,FIESTA
L383KRP,ROVER,414
L384GON,FORD,FIESTA
L389VHW,FORD,FIESTA
L393SWY,MITSUBISHI,COLT
L396LFC,MITSUBISHI,COLT
L39OAH,FORD,FIESTA
L401WDE,FORD,FIESTA
L402SAP,FORD,FIESTA
L403AKN,FORD,FIESTA
L404OGU,FORD,FIESTA
L410OWE,FORD,FIESTA
L411HRE,FORD,FIESTA
L415UFB,FORD,FIESTA
L41FOV,FORD,FIESTA
L420ULK,FORD,FIESTA
L421APK,MERCEDES-BENZ,190 E
L43TTJ,HONDA,TRIKE
L442WBJ,FORD,FIESTA
L44UXR,AUDI,Q3
L453OWF,ROVER,218
L459RBP,ROVER,414
L460NPU,FORD,FIESTA
L461PAS,FORD,FIESTA
L466GFA,FORD,FIESTA
L467EUK,ROVER,218
L471DPE,FORD,FIESTA
L477JTH,ROVER,414
L480DVH,MERCEDES-BENZ,190 E
L480NNU,FORD,FIESTA
L489VHP,FORD,FIESTA
L489WGP,TOYOTA,LUCIDA
L492BFH,FORD,FIESTA
L494DNF,FORD,FIESTA
L494MHE,ROVER,414
L498GBM,FORD,FIESTA
L498PAC,MERCEDES-BENZ,190 E
L4TXJ,LAND ROVER,DISCOVRY SPRT RDYN HSE P300E A
L4WWR,JAGUAR,F-PACE
L4YYG,TOYOTA,YARIS
L500YNN,AUDI,Q3
L503MSG,FORD,FIESTA
L510JUK,ROVER,218
L515GOM,SUBARU,IMPREZA
L520KAR,FORD,FIESTA
L523DJT,FORD,FIESTA
L525SCA,FORD,FIESTA
L526GUK,FORD,FIESTA
L526MWC,FORD,FIESTA
L528LHJ,ROVER,218
L529FNA,CARBODIES,TAXI/HIRE CAR
L530OTW,FORD,FIESTA
L534VLL,ROVER,414
L535NGW,ROVER,218
L53CJW,FORD,FIESTA
L546HOF,FORD,FIESTA
L548TDY,FORD,FIESTA
L553GWN,FORD,FIESTA
L555CBD,SUBARU,IMPREZA
L555DDM,SUBARU,IMPREZA
L555DPE,SUBARU,IMPREZA
L555TNN,SUBARU,IMPREZA
L558PWX,FORD,FIESTA
L559HDV,SUBARU,IMPREZA
L561KFU,FORD,FIESTA
L562MEO,FORD,FIESTA
L566HKK,FORD,FIESTA
L567FOP,ROVER,414
L570AJT,FORD,FIESTA
L570GTH,FORD,FIESTA
L573DKH,NISSAN,SKYLINE
L576JBA,FORD,FIESTA
L580LDP,FORD,FIESTA
L581JBV,ROVER,218
L589NVW,FORD,FIESTA
L591WPN,TOYOTA,LUCIDA
L593WGF,NISSAN,SKYLINE
L599HOL,FORD,FIESTA
L59FOH,MERCEDES-BENZ,190 E
L5DJL,FORD,FIESTA
L601LFR,FORD,FIESTA
L601UMW,FORD,FIESTA
L607HAW,FORD,FIESTA
L608PWF,FORD,FIESTA
L60TPK,PEUGEOT,508
L610KJH,FORD,FIESTA
L613MBF,FORD,FIESTA
L616AKJ,MERCEDES-BENZ,190 E
L616TMA,KAWASAKI,ZZR1100D
L618BNL,FORD,FIESTA
L618RMC,FORD,FIESTA
L61UKA,ROVER,414
L621FNK,FORD,FIESTA
L627FTX,FORD,FIESTA
L633UAP,FORD,FIESTA
L644WVC,MITSUBISHI,COLT
L645YJF,FORD,FIESTA
L647TOU,FORD,FIESTA
L650WJR,ROVER,218
L652LTW,FORD,FIESTA
L655AKO,FORD,FIESTA
L656PMC,FORD,FIESTA
L65LPP,FORD,FIESTA
L660CAX,FORD,FIESTA
L661LWC,FORD,FIESTA
L664NMB,ROVER,218
L672OTW,FORD,FIESTA
L673LEC,ROVER,218
L674FDW,FORD,FIESTA
L680NPU,FORD,FIESTA
L682JCP,FORD,FIESTA
L689BCK,FORD,FIESTA
L691HHO,SUBARU,IMPREZA
L695FPM,FORD,FIESTA
L6APP,NISSAN,JUKE N-CONNECTA DIG-T S-A
L704WLO,FORD,FIESTA
L706BTA,FORD,FIESTA
L706SAH,FORD,FIESTA
L707CFH,MITSUBISHI,COLT
L709KFL,FORD,FIESTA
L70DAV,AUDI,Q3
L70GNA,MAZDA,CX-5 SPORT EDITION
L70JMT,KIA,SOUL
L70POD,FORD,PUMA ST-LINE X MHEV
L71WAF,FORD,FIESTA
L721ULK,MAZDA,MX-6 V6 AB
L721VEY,FORD,FIESTA
L722SHK,TOYOTA,LUCIDA
L722VNS,FORD,FIESTA
L723TFM,FORD,FIESTA
L725SPX,MITSUBISHI,COLT
L741XGG,ROVER,414
L745SDU,FORD,FIESTA
L752UFE,FORD,FIESTA
L754FPA,FORD,FIESTA
L757JJO,ROVER,218
L761JTH,FORD,FIESTA
L761SEU,FORD,FIESTA
L763LJO,ROVER,218
L763SOU,FORD,FIESTA
L766DRJ,FORD,FIESTA
L768DNX,NISSAN,SKYLINE
L772CKP,ROVER,218
L775LTW,FORD,FIESTA
L775VRV,FORD,FIESTA
L777CLH,MERCEDES-BENZ,190 E
L777DJS,FORD,FIESTA
L77MAE,FORD,FIESTA
L782PMP,FORD,FIESTA
L783KSS,MERCEDES-BENZ,190 E
L784OUM,FORD,FIESTA
L785SSL,ROVER,414
L788HSG,MERCEDES-BENZ,190 E
L792ADF,ROVER,218
L798KVU,NISSAN,SKYLINE
L798MAO,LAND ROVER,DISCUVERY
L800NCS,FORD,FIESTA
L808CKJ,FORD,FIESTA
L808MEW,FORD,FIESTA
L809LFS,ROVER,218
L810WEG,SUBARU,IMPREZA
L816FBV,FORD,FIESTA
L818EOX,FORD,FIESTA
L818JJV,FORD,FIESTA
L819XFH,ROVER,218
L821APF,FORD,FIESTA
L822OVC,ROVER,218
L824LRM,ROVER,218
L827OPU,FORD,FIESTA
L829WNS,FORD,FIESTA
L831CBB,FORD,FIESTA
L831EOX,FORD,FIESTA
L831KVS,FORD,FIESTA
L833RNO,FORD,FIESTA
L840HNE,ROVER,VITESSE
L842USW,ROVER,414
L844CVP,ROVER,218
L844MAR,FORD,FIESTA
L849EPJ,ROVER,414
L850PDM,ROVER,414
L851YDE,MITSUBISHI,COLT
L854ARY,FORD,FIESTA
L860HLS,FORD,FIESTA
L860VPX,FORD,FIESTA
L862CUT,FORD,FIESTA
L864CNB,FORD,FIESTA
L865HUV,ASTON MARTIN,VIRAGE
L868DRN,FORD,FIESTA
L877DAG,SUBARU,IMPREZA
L878YTA,ROVER,414
L883PRC,TOYOTA,LUCIDA
L883SEU,FORD,FIESTA
L883WPN,SUBARU,IMPREZA
L886PEJ,FORD,FIESTA
L88AUL,FORD,FIESTA
L892EWO,FORD,FIESTA
L898GBO,FORD,FIESTA
L899GON,FORD,FIESTA
L901DTA,FORD,FIESTA
L901NFA,FORD,FIESTA
L902RUA,FORD,FIESTA
L903YTA,MERCEDES-BENZ,190 E
L907ROW,FORD,FIESTA
L908PVW,FORD,FIESTA
L90HBE,VAUXHALL,VECTRA
L90TCH,FORD,FIESTA
L910WPO,NISSAN,SKYLINE
L915FPM,FORD,FIESTA
L915LUR,FORD,FIESTA
L919FOB,FORD,FIESTA
L924WCU,FORD,FIESTA
L926DJT,FORD,FIESTA
L936BWP,FORD,FIESTA
L938PYA,FORD,FIESTA
L939EOG,FORD,FIESTA
L940HEF,FORD,FIESTA
L94MWC,FORD,FIESTA
L951HUW,CARBODIES,TAXI/HIRE CAR
L952GRF,FORD,FIESTA
L959OMU,MERCEDES-BENZ,190 E
L959XWD,FORD,FIESTA
L960JUJ,ROVER,218
L965PKY,ROVER,414
L971YKV,FORD,FIESTA
L972RMG,FORD,FIESTA
L977DTX,FORD,FIESTA
L979GOH,MITSUBISHI,COLT
L984YTA,MERCEDES-BENZ,190 E
L985BNX,ROVER,218
L989MHH,FORD,FIESTA
L993TES,FORD,FIESTA
L998CCW,FORD,FIESTA
L999CPE,RENAULT,MASTER LM35 BUSINESS BLUE DCI
L999PGT,FORD,FIESTA
LA02CTV,FORD,FIESTA
LA03CDV,FORD,FIESTA
LA03TFY,FORD,FIESTA
LA04ELX,FORD,FIESTA
LA04KCC,SUZUKI,GSX1400
LA06UBP,FORD,FIESTA
LA07BVF,KIA,CEED
LA08ABB,AUDI,Q3
LA08FOD,TOYOTA,YARIS
LA09FJU,FORD,FIESTA
LA10HFO,KIA,CEED
LA13TWK,TOYOTA,YARIS
LA14CPY,FORD,FIESTA
LA14CYZ,TOYOTA,YARIS
LA14FEV,AUDI,Q3
LA16HWD,FORD,FIESTA
LA16KNS,JAGUAR,F-PACE
LA16LVE,FORD,FIESTA
LA17XUG,TESLA,MODEL X
LA19GHN,KIA,RIO
LA19LUE,KIA,CEED
LA19NMV,TESLA,MODEL X
LA20DVX,FORD,PUMA ST-LINE X MHEV
LA23XPR,NISSAN,JUKE N-CONNECTA DIG-T S-A
LA51DJE,FORD,FIESTA
LA52WBG,FORD,FIESTA
LA55WGM,MERCEDES-BENZ,SPRINTER
LA56FHS,FORD,FIESTA
LA56UXX,FORD,FIESTA
LA56YJS,FORD,FIESTA
LA61FCJ,RENAULT,SCENIC
LA62AWJ,KIA,RIO
LA66DCE,KIA,RIO
LA66GWF,AUDI,Q3
LA69ZDG,MG,HS EXCLUSIVE
LA71WWP,MG,HS EXCLUSIVE
LB04UDG,FORD,FIESTA
LB04ZXX,FORD,FIESTA
LB05MZV,FORD,FIESTA
LB07CFL,FORD,FIESTA
LB07DRO,FORD,FIESTA
LB08DHL,KIA,CEED
LB08JFX,KIA,RIO
LB08WPU,KIA,RIO
LB09JSZ,FORD,FIESTA
LB09XNS,KIA,CEED
LB10ZKK,VOLVO,XC70
LB11TZC,KIA,CEED
LB11TZZ,KIA,CEED
LB11VZZ,KIA,RIO
LB11XMF,KIA,RIO
LB12CYU,KIA,RIO
LB12TLF,FORD,FIESTA
LB13CYU,BMW,X3
LB14NFV,KIA,RIO
LB15DJX,BMW,218
LB15FBD,KIA,CEED
LB15ZSX,BMW,X3
LB18DZG,AUDI,Q3
LB18PTZ,TESLA,MODEL X
LB19YLX,JAGUAR,F-PACE
LB20HMF,FORD,PUMA ST-LINE X MHEV
LB20HYY,BMW,X3
LB21HXC,FORD,FIESTA
LB21KJZ,LAND ROVER,DEFENDER HSE AUTO
LB21OFV,AUDI,A6 AROAD SPT 45TDI MHEV QUAT A
LB22HAO,MERCEDES-BENZ,GLC 300 AMG LINE PREM + D 4M A
LB23CZM,BMW,128TI AUTO
LB52BDE,TOYOTA,YARIS
LB52VTP,TOYOTA,YARIS
LB53WTV,FORD,FIESTA
LB53ZNJ,FORD,FIESTA
LB53ZNX,FORD,FIESTA
LB54NVE,FORD,FIESTA
LB56CLF,VOLKSWAGEN,JETTA
LB56NUP,JAGUAR,XKR
LB56WFW,MERCEDES-BENZ,CLS
LB57HZH,KIA,CEED
LB57KBK,KIA,CEED
LB57VFR,FORD,FIESTA
LB57XHR,FORD,FIESTA
LB58DKF,KIA,CEED
LB58HLY,KIA,SOUL
LB58LWM,KIA,CEED
LB59AXP,KIA,SOUL
LB59AYO,KIA,SOUL
LB59DXF,VAUXHALL,AGILA
LB59EBZ,MITSUBISHI,COLT
LB59WUJ,KIA,CEED
LB60EAC,KIA,CEED
LB61AYH,FORD,FIESTA
LB61AYX,FORD,FIESTA
LB61EFE,KIA,CEED
LB61OYP,KIA,CEED
LB62FOA,BMW,S 1000
LB62ZHG,KIA,CEED
LB64KJY,KIA,RIO
LB64LTA,KIA,CEED
LB65WBL,KIA,CEED
LB66SZL,FORD,FIESTA
LB66VBD,TOYOTA,YARIS
LB67CKA,KIA,CEED
LB68BXD,JAGUAR,F-PACE
LB71DFU,MG,HS EXCLUSIVE
LB71DKF,KIA,CEED
LB71WOH,CITROEN,C3 SHINE PURETECH S/S
LB71XES,HYUNDAI,TUCSON ULTIMATE T-GDI
LB72YZH,KIA,CEED
LC02OGW,VAUXHALL,AGILA
LC04HUZ,FORD,FIESTA
LC04SBX,FORD,FIESTA
LC04SVX,LEXUS,RX300
LC04WBD,FORD,FIESTA
LC04WFK,FORD,FIESTA
LC05CWL,MAZDA,6
LC05OHS,FORD,FIESTA
LC06LPP,TOYOTA,YARIS
LC07BNV,KIA,CEED
LC07EKX,FORD,FIESTA
LC07TFY,JAGUAR,XKR
LC07UXM,FORD,FIESTA
LC07YYM,KIA,CEED
LC08NFU,KIA,CEED
LC08YBE,FORD,FIESTA
LC08YBU,FORD,FIESTA
LC08YPO,KIA,CEED
LC09HMU,KIA,CEED
LC09OKB,FORD,FIESTA
LC09OOE,TOYOTA,LANDCRUISER
LC10LDD,FORD,FIESTA
LC10OBH,FORD,FIESTA
LC11WFH,KIA,SOUL
LC11WHZ,KIA,RIO
LC11YSB,PEUGEOT,508
LC12NTO,MAZDA,6
LC13RVN,KIA,CEED
LC13VFL,KIA,CEED
LC14BHP,FORD,FIESTA
LC14BVA,FORD,FIESTA
LC14ORK,KIA,CEED
LC15BVN,PEUGEOT,108
LC15UDT,FORD,FIESTA
LC16BJE,KIA,CEED
LC16ZTL,KIA,CEED
LC18HRK,KIA,RIO
LC19GVP,BMW,X2 SDRIVE18D SE
LC19OAN,KIA,CEED
LC20NLT,FORD,FIESTA
LC20TFU,LAND ROVER,DEFENDER D AUTO
LC22EZU,MG,HS EXCLUSIVE
LC22GBZ,MG,HS EXCITE S-A
LC22PJX,MG,HS EXCLUSIVE
LC23RUW,MG,HS EXCLUSIVE
LC23RWV,MG,HS EXCLUSIVE
LC51ZXT,RENAULT,SCENIC
LC53ZSD,TOYOTA,YARIS
LC57SVX,KIA,CEED
LC57UFX,KIA,CEED
LC58GZR,KIA,CEED
LC58HWE,KIA,CEED
LC58MHJ,KIA,CEED
LC58MYG,KIA,CEED
LC58NSY,KIA,CEED
LC58VVU,MAZDA,6
LC59OLX,KIA,CEED
LC59OSK,KIA,CEED
LC59OXP,KIA,CEED
LC59RYH,KIA,CEED
LC59ZKS,KIA,CEED
LC59ZRO,KIA,CEED
LC59ZTK,KIA,CEED
LC59ZTR,KIA,CEED
LC60DHX,FORD,FIESTA
LC60GLJ,KIA,SOUL
LC60PVA,KIA,CEED
LC61HGE,KIA,CEED
LC62CKJ,BMW,X3
LC62EKG,KIA,CEED
LC62EKK,KIA,CEED
LC62KWO,KIA,CEED
LC62LHZ,KIA,CEED
LC62XBS,FORD,FIESTA
LC62ZLY,KIA,CEED
LC64AVD,FORD,FIESTA
LC64LVU,AUDI,Q3
LC65FDV,KIA,CEED
LC65KHY,PEUGEOT,108
LC65RYF,FORD,FIESTA
LC65TZP,FORD,FIESTA
LC66WPM,FORD,FIESTA
LC66WVM,BMW,218
LC67EZL,BMW,218
LC67TBO,KIA,CEED
LC69WEW,KIA,SPORTAGE GT-LINE CRDI ISG 4X4
LC71PCX,MERCEDES-BENZ,GLC 300 AMG LINE PREM + D 4M A
LC71PNN,BMW,318D M SPORT MHEV AUTO
LC72VJN,KIA,SPORTAGE 3 ISG
